DATA,MENSAGEM,CLIENTE,TIPO DE SERVIÇO,EDITOR,FREQUÊNCIA,Dias até o Alarme
2024-05-21,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,0
2024-05-22,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,1
2024-05-23,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,2
2024-05-24,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,3
2024-05-25,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,4
2024-05-26,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,5
2024-05-27,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,6
2024-05-28,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,7
2024-05-29,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,8
2024-05-30,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,9
2024-05-31,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,10
2024-06-01,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,11
2024-06-02,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,12
2024-06-03,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,13
2024-06-04,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,14
2024-06-05,PRAZO FINAL É HOJE!,sfsdfsdfsd,sdfsfsdfsdfs,sdfsdfs,Diário,15
